"RelativePath","Length","HeaderHex","HeaderASCII"
"025d96a23b38b165ac6b81183c96efd7.bytes","210372","FF FF FF FF FF FF FF FF FF 01 FF FF FF FF FF FF","................"
"264da6d7fc597d81d3d3668561853bb6.bytes","73850","BC 11 03 A3 82 BB D6 0D A0 80 EA F9 DF 88 F3 B5","................"
"568be8a890f00f6dbc419045f1c8ab63.bytes","71241","00 94 04 FF 07 16 41 63 74 69 6F 6E 47 72 6F 75","......ActionGrou"
"96da02a55ec4d58012713ac3506330a6.bytes","80021","BC 11 03 DE B7 AC C3 06 8B C0 AA 84 84 D9 D7 AB","................"
"c55c9c8212dde2f3dd5ce4612ca85378.bytes","89772","BA 11 03 DE B7 AC C3 06 8B C0 AA 84 84 D9 D7 AB","................"
"c9cf5ad44b49974030eb5e736e73c3c6.bytes","94639","BA 11 03 DE B7 AC C3 06 8B C0 AA 84 84 D9 D7 AB","................"
"DesignV_60abaa707bf6885978f8dd5a156d03c8.bytes","714","00 00 00 FF 00 00 00 04 00 00 00 06 00 00 00 1D","................"
"M_DesignV.bytes","66","53 52 4D 49 00 03 00 01 42 00 00 00 00 00 0C 00","SRMI....B......."
"M_Design_ArchiveV.bytes","428","7B 22 4D 61 6A 6F 72 56 65 72 73 69 6F 6E 22 3A","{""MajorVersion"":"
